dataset,exp,mode,n_epochs,lr,batch_size,hidden_size,n_layers,seq_enc,tab_enc,save_weights,train,linear,finetune,fold,exclude,unlabel_ratio,label_ratio,seed,scaler,norm_type,max_auc,max_auc_lp,max_auc_ft,max_auc_all
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,all,0.1,1.0,2,quantile,global,0.5,0.6958333333333332,0.64375,0.6958333333333332
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,all,0.1,1.0,3,quantile,global,0.6083333333333333,0.56875,0.5875,0.6083333333333333
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,label,0.5,1.0,0,quantile,global,0.654094827586207,0.5452586206896552,0.6185344827586207,0.654094827586207
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,label,0.5,1.0,1,quantile,global,0.5366379310344828,0.5172413793103448,0.7230603448275862,0.7230603448275862
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,label,0.5,1.0,2,quantile,global,0.5,0.5872844827586207,0.6745689655172413,0.6745689655172413
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,label,0.5,1.0,3,quantile,global,0.5862068965517242,0.5,0.6012931034482759,0.6012931034482759
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,label,0.5,1.0,0,quantile,global,0.6411637931034483,0.5,0.709051724137931,0.709051724137931
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,label,0.5,1.0,1,quantile,global,0.5808189655172413,0.5269396551724138,0.7295258620689655,0.7295258620689655
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,label,0.5,1.0,2,quantile,global,0.5,0.5463362068965517,0.7467672413793103,0.7467672413793103
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,label,0.5,1.0,3,quantile,global,0.5549568965517242,0.6228448275862069,0.7262931034482759,0.7262931034482759
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,label,0.5,1.0,0,quantile,global,0.5875,0.5,0.5854166666666667,0.5875
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,label,0.5,1.0,1,quantile,global,0.5541666666666667,0.5104166666666667,0.5875,0.5875
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,label,0.5,1.0,2,quantile,global,0.5,0.5458333333333333,0.68125,0.68125
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,label,0.5,1.0,3,quantile,global,0.5354166666666667,0.6479166666666667,0.5999999999999999,0.6479166666666667
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,label,0.5,1.0,0,quantile,global,0.5520833333333333,0.5291666666666667,0.7104166666666667,0.7104166666666667
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,label,0.5,1.0,1,quantile,global,0.5833333333333334,0.6541666666666667,0.6645833333333333,0.6645833333333333
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,label,0.5,1.0,2,quantile,global,0.5,0.5,0.74375,0.74375
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,label,0.5,1.0,3,quantile,global,0.5333333333333333,0.6416666666666666,0.73125,0.73125
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,label,0.5,1.0,0,quantile,global,0.5499999999999999,0.5,0.6520833333333333,0.6520833333333333
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,label,0.5,1.0,1,quantile,global,0.7270833333333333,0.5583333333333333,0.6458333333333334,0.7270833333333333
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,label,0.5,1.0,2,quantile,global,0.5,0.575,0.6083333333333333,0.6083333333333333
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,label,0.5,1.0,3,quantile,global,0.5041666666666667,0.5187499999999999,0.6166666666666667,0.6166666666666667
