dataset,exp,mode,n_epochs,lr,batch_size,hidden_size,n_layers,seq_enc,tab_enc,save_weights,train,linear,finetune,fold,exclude,unlabel_ratio,label_ratio,seed,scaler,norm_type,max_auc,max_auc_lp,max_auc_ft,max_auc_all
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,all,1.0,0.1,3,quantile,global,0.5374362114717289,0.5,0.7442335170442947,0.7442335170442947
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,label,1.0,0.5,0,quantile,global,0.5454489945453065,0.5443906211837499,0.8273630220630138,0.8273630220630138
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,label,1.0,0.5,1,quantile,global,0.5014450867052023,0.5,0.8297036554587641,0.8297036554587641
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,label,1.0,0.5,2,quantile,global,0.5043352601156069,0.5,0.8156191484165106,0.8156191484165106
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,label,1.0,0.5,3,quantile,global,0.5471993812586501,0.5,0.7966498412439957,0.7966498412439957
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,label,1.0,0.5,0,quantile,global,0.5407514450867053,0.5118084227910819,0.7617671345995046,0.7617671345995046
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,label,1.0,0.5,1,quantile,global,0.5146160198183319,0.5,0.7736581337737407,0.7736581337737407
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,label,1.0,0.5,2,quantile,global,0.5099504541701073,0.5,0.8119322873658134,0.8119322873658134
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,label,1.0,0.5,3,quantile,global,0.5451692815854665,0.5142857142857142,0.7609000825763833,0.7609000825763833
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,label,1.0,0.5,0,quantile,global,0.5421325051759834,0.5255693581780538,0.7806418219461697,0.7806418219461697
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,label,1.0,0.5,1,quantile,global,0.5256728778467908,0.5027950310559006,0.7885093167701862,0.7885093167701862
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,label,1.0,0.5,2,quantile,global,0.5070393374741201,0.5,0.8020703933747413,0.8020703933747413
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,label,1.0,0.5,3,quantile,global,0.5162525879917184,0.5,0.7934782608695652,0.7934782608695652
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,label,1.0,0.5,0,quantile,global,0.5592132505175984,0.5153209109730849,0.777432712215321,0.777432712215321
